Player Name,Team Link,Minutes Played,Goals This Season,Assist This Season,Shots PG,Pass Success%,Aerial Duels Won
Harry Kane,https://www.whoscored.com/Teams/37/Show/Germany-Bayern,2844,36,8,4.6,73.6,0.9
Jude Bellingham,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,2324,19,6,2.3,89.8,0.9
Serhou Guirassy,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,2214,28,2,3.3,81.4,2.3
Kylian Mbappé,https://www.whoscored.com/Teams/304/Show/France-PSG,2160,27,7,4.1,85.2,-
Leroy Sané,https://www.whoscored.com/Teams/37/Show/Germany-Bayern,2142,8,11,2.7,84.4,0.1
Bukayo Saka,https://www.whoscored.com/Teams/13/Show/England-Arsenal,2937,16,9,3.1,83,0.7
Jamal Musiala,https://www.whoscored.com/Teams/37/Show/Germany-Bayern,1767,10,6,2.4,81.9,0.3
Rodri,https://www.whoscored.com/Teams/167/Show/England-Man-City,2937,8,9,1.8,92.5,1.6
Michael Olise,https://www.whoscored.com/Teams/162/Show/England-Crystal-Palace,1277,10,6,3,83.1,0.4
Kevin De Bruyne,https://www.whoscored.com/Teams/167/Show/England-Man-City,1228,4,10,2.4,83.8,0.3
Álex Grimaldo,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,2787,10,13,2.2,87.2,0.4
Xavi Simons,https://www.whoscored.com/Teams/7614/Show/Germany-RBL,2675,8,11,2.5,82,0.6
Phil Foden,https://www.whoscored.com/Teams/167/Show/England-Man-City,2869,19,8,3,89.1,0.2
Lautaro Martínez,https://www.whoscored.com/Teams/75/Show/Italy-Inter,2668,24,3,3.3,79.1,1.2
Khvicha Kvaratskhelia,https://www.whoscored.com/Teams/276/Show/Italy-Napoli,2752,11,6,3.8,85.7,0.4
Florian Wirtz,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,2384,11,11,2.2,84.6,0.3
Victor Boniface,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,1554,14,8,3.5,73,1.2
Cole Palmer,https://www.whoscored.com/Teams/15/Show/England-Chelsea,2618,22,11,3.3,83.3,-
Eberechi Eze,https://www.whoscored.com/Teams/162/Show/England-Crystal-Palace,2064,11,4,3.1,83.7,0.4
