Player Name,Expected Goals,Difference Between Goals And Expected Goals,Expected Goals For Every 90 Minutes,Total Shots,Aerial Duels Won
Harry Kane,32.06,3.94,1.01,146,0.22
Jude Bellingham,11.7,7.3,0.45,63,0.19
Serhou Guirassy,22.14,5.86,0.9,92,0.24
Kylian Mbappé,19.93,7.07,0.83,120,0.17
Leroy Sané,10.25,-2.25,0.43,73,0.14
Bukayo Saka,16.23,-0.23,0.5,108,0.15
Jamal Musiala,8.91,1.09,0.45,58,0.15
Rodri,4.46,3.54,0.14,62,0.07
Michael Olise,6.22,3.78,0.44,57,0.11
Kevin De Bruyne,2.42,1.58,0.18,44,0.05
Álex Grimaldo,5.05,4.95,0.16,71,0.07
Xavi Simons,8.73,-0.73,0.29,81,0.11
Phil Foden,11.28,7.72,0.35,105,0.11
Lautaro Martínez,18.78,5.22,0.63,108,0.17
Khvicha Kvaratskhelia,13.02,-2.02,0.43,128,0.1
Florian Wirtz,9.78,1.22,0.37,71,0.14
Victor Boniface,17.35,-3.35,1,80,0.22
Cole Palmer,17.85,4.15,0.61,109,0.16
Eberechi Eze,9.5,1.5,0.41,83,0.11
Deniz Undav,15.89,2.11,0.68,107,0.15
Vinícius Júnior,15.64,-0.64,0.75,78,0.2
Hakan Çalhanoglu,10.1,2.9,0.35,62,0.16
Erling Haaland,30.94,-3.94,1.09,121,0.26
Isco,9.14,-1.14,0.35,64,0.14
Bruno Fernandes,10.69,-0.69,0.31,95,0.11
Declan Rice,3.79,3.21,0.11,58,0.07
Bruno Guimarães,4.6,2.4,0.13,48,0.1
Martin Ødegaard,8.68,-0.68,0.25,77,0.11
Romain Del Castillo,5.25,2.75,0.19,40,0.13
Exequiel Palacios,3.37,0.63,0.16,21,0.16
Jan-Niklas Beste,4.54,3.46,0.16,49,0.09
Loïs Openda,22.04,1.96,0.73,121,0.18
Rafael Leão,9.14,-0.14,0.33,70,0.13
Son Heung-Min,12.98,4.02,0.4,85,0.15
Aleksandr Golovin,3.96,2.04,0.17,44,0.09
Anthony Gordon,11.8,-0.8,0.37,81,0.15
Savinho,6.39,2.61,0.19,45,0.14
Marcus Thuram,14.82,-1.82,0.49,77,0.19
Téji Savanier,9.45,-0.45,0.31,82,0.12
Maximilian Mittelstädt,0.97,1.03,0.04,21,0.05
Ousmane Dembélé,4.82,-1.82,0.29,43,0.11
Ollie Watkins,20.06,-1.06,0.56,107,0.19
Jérémy Doku,3.69,-0.69,0.21,55,0.07
Mohamed Salah,22.17,-4.17,0.79,114,0.19
Vitinha,3.32,3.68,0.14,45,0.07
Mohammed Kudus,5.52,2.48,0.2,67,0.08
Alexander Sørloth,14.37,8.63,0.52,78,0.18
Antoine Griezmann,13.11,2.89,0.44,79,0.17
Pierre Lees-Melou,2.67,1.33,0.1,52,0.05
Robert Lewandowski,18.85,0.15,0.61,94,0.2
David Raum,0.86,1.14,0.03,14,0.06
Kevin Stöger,6.16,0.84,0.21,75,0.08
Mikel Merino,4.29,0.71,0.16,30,0.14
Dani Olmo,3.88,0.12,0.24,45,0.09
